-11.51 11.51 10.0 1229.2 -5.0 2107.9
        1000
2106.0   0.00 1229.2
2106.6  -9.78 1223.2
2101.9   2.54 1226.5
2104.3  11.30 1217.4
2107.9   6.70 1206.2
2106.3  -4.94 1204.1
2100.0 -11.36 1210.3
2093.3  -8.94 1216.9
2089.2  -2.23 1219.2
2087.3   3.76 1217.6
2086.1   7.23 1214.7
2084.6   8.54 1212.5
2082.3   8.24 1211.5
2079.4   6.19 1211.7
2076.4   1.73 1212.0
2074.8  -4.91 1209.9
2075.8 -10.69 1203.4
2078.6 -10.05 1193.6
2079.4  -0.69 1187.3
2074.5   9.86 1190.9
2066.2   9.48 1200.4
2061.7  -2.32 1203.3
2064.1 -11.27 1194.4
2067.7  -6.93 1183.2
2066.3   4.62 1180.8
2060.0  11.29 1186.8
2053.3   9.19 1193.5
2049.0   2.60 1196.0
2047.0  -3.45 1194.5
2045.9  -7.05 1191.7
2044.4  -8.48 1189.3
2042.2  -8.30 1188.3
2039.3  -6.42 1188.4
2036.3  -2.22 1188.7
2034.5   4.23 1187.0
2035.2  10.29 1181.0
2037.9  10.59 1171.4
2039.2   2.13 1164.2
2035.0  -8.90 1166.5
2026.8 -10.39 1175.9
2021.4   0.38 1180.3
2022.9  10.69 1172.8
2026.8   8.44 1161.2
2026.4  -2.74 1157.0
2020.7 -10.79 1162.0
2013.8 -10.12 1169.0
2009.0  -3.80 1172.5
2006.7   1.98 1171.7
2015.3   5.66 1151.9
2012.9   6.37 1151.1
2008.8  10.11 1153.4
2002.0  10.89 1160.2
1996.2   2.45 1165.5
1995.9  -8.61 1161.1
1998.7 -11.30 1151.4
1999.6  -7.92 1144.8
1998.3  -5.85 1142.3
1995.5  -7.77 1142.3
1990.4 -11.23 1146.2
1983.4  -8.93 1153.5
1979.2   1.87 1155.8
1980.6  10.66 1148.5
1983.1  10.45 1139.4
1983.1   7.06 1134.4
1981.2   6.52 1132.9
1977.5   9.52 1134.3
1971.4  11.39 1140.1
1964.9   4.97 1146.4
1963.3  -6.57 1144.4
1965.8 -11.51 1135.1
1967.3  -9.07 1127.6
1966.3  -6.63 1124.4
1963.7  -7.90 1124.1
1958.9 -11.12 1127.5
1952.0  -9.46 1134.6
1947.4   0.78 1137.6
1948.4  10.19 1131.1
1950.9  10.84 1121.9
1951.1   7.73 1116.6
1949.3   7.10 1114.9
1945.6   9.84 1116.4
1939.4  11.31 1122.2
1933.1   4.62 1128.3
1931.6  -6.77 1126.0
1934.1 -11.51 1116.8
1935.5  -9.23 1109.5
1934.4  -7.15 1106.4
1931.6  -8.63 1106.4
