    21.8984    19.1439    15.3440    9.10626    9.28903    9.67975    7.94141
    5.39877    2.59950   -1.15913E-06   -1.75716   -3.47838   -6.03396   -7.92034
   -8.21666   -3.76288   -11.2857   -15.2862   -17.8384   -19.2921   -19.6222
   -18.6075   -15.8311   -12.6383   -15.5927   -18.7546   -20.4381   -20.9665
   -26.7535   -26.5130   -25.7420   -24.3465   -22.0765   -18.3003   -10.8114
   -14.4401   -17.6267   -18.0082   -16.8651   -14.5840   -11.2142   -6.34910
   -5.97595   -5.28335   -3.27446   -1.90336   -1.19271E-06    2.62587    5.38679
    7.79992    9.22308    7.78232    10.5793    14.8002    17.1231    17.9503
    17.0807    15.2990    16.8555    18.8942    19.3592    18.1590    15.1580
   10.02907    4.88215   10.02907    15.1500    18.1590    19.3592    18.8942
    16.8555    15.2990    17.0807    17.9503    17.1231    14.8002    10.5793
    7.78232    9.22308    7.79992    5.38679    2.62587   -1.19271E-06   -1.90336
   -3.27446   -5.28335   -5.97595   -6.34910   -11.2142   -14.5840   -16.8651
   -18.0082   -17.6267   -14.4401   -10.8114   -18.3003   -22.0765   -24.3465
   -25.7420   -26.5130   -26.7535   -25.8540   -25.7556   -25.4461   -24.8103
   -23.7045   -21.8973   -18.9803   -13.7298   -12.5698   -15.9848   -16.2543
   -14.9391   -12.5325   -9.20729   -5.34223   -4.52247   -3.14066   -1.91349
   -1.17398E-06    2.56245    5.20782    7.42707    8.49674    6.55906   10.10030
    12.2588    11.9900    15.4215    19.7701    22.5463    23.9360    23.8413
    21.7106    16.1011    18.9431    22.8328    23.9006    22.8328    18.9431
    16.1011    21.7106    23.8413    23.9360    22.5463    19.7701    15.4215
    11.9900    12.2588   10.10030    6.55906    8.49674    7.42707    5.20782
    2.56245   -1.17398E-06   -1.91349   -3.14066   -4.52247   -5.34223   -9.20729
   -12.5325   -14.9391   -16.2543   -15.9848   -12.5698   -13.7298   -18.9803
   -21.8973   -23.7045   -24.8103   -25.4461   -25.7556   -25.8540   -20.7677
   -20.8718   -21.1138   -21.2963   -21.2097   -20.6163   -19.2836   -16.8555
   -12.7944   -12.8800   -14.5628   -14.1385   -12.4168   -9.76896   -6.42582
   -4.02079   -2.95427   -1.82359   -1.11518E-06    2.42508    4.89064    6.86114
    7.55281    6.20384    8.49589    10.7276    15.5627    19.3800    22.0028
    23.4008    23.2334    20.2190    18.6050    25.1963    28.4186    30.0504
    30.5612    30.0504    28.4186    25.1963    18.6050    20.2190    23.2334
    23.4008    22.0028    19.3800    15.5627    10.7276    8.49589    6.20384
    7.55281    6.86114    4.89064    2.42508   -1.11518E-06   -1.82359   -2.95427
   -4.02079   -6.42582   -9.76896   -12.4168   -14.1385   -14.5628   -12.8800
   -12.7944   -16.8555   -19.2836   -20.6163   -21.2097   -21.2963   -21.1138
   -20.8718   -20.7677   -17.3167   -17.0587   -16.3700   -15.6960   -15.8194
   -16.4516   -16.6166   -15.8226   -13.8415   -11.4993   -12.4531   -12.7197
   -11.5798   -9.45627   -6.61957   -3.78149   -2.66211   -1.65827   -1.02414E-06
    2.22746    4.45806    6.13390    6.44369    6.00627    8.56514    12.9668
    16.7378    19.5125    21.2029    21.4513    18.8878    18.4498    24.7589
    28.0205    29.9799    31.0694    31.4130    31.0694    29.9799    28.0205
    24.7589    18.4498    18.8878    21.4513    21.2029    19.5125    16.7378
    12.9668    8.56514    6.00627    6.44369    6.13390    4.45806    2.22746
   -1.02414E-06   -1.65827   -2.66211   -3.78149   -6.61957   -9.45627   -11.5798
   -12.7197   -12.4531   -11.4993   -13.8415   -15.8226   -16.6166   -16.4516
